Scan: XES 392.4 eV #0
Date: 2012 08 17 21:02:16
Sample: [no sample]
Facility: CLS REIXS Beamline

xesSpectrum.X	xesSpectrum	
387.151	4503	
387.223	4662	
387.295	4691	
387.367	4723	
387.439	4832	
387.511	4804	
387.583	4713	
387.655	4956	
387.727	4821	
387.799	4754	
387.871	4856	
387.944	4877	
388.016	4968	
388.088	4776	
388.161	4861	
388.233	4773	
388.305	4821	
388.378	4828	
388.45	4916	
388.522	4862	
388.595	4923	
388.668	4963	
388.74	4925	
388.813	5062	
388.885	5035	
388.958	5108	
389.031	5121	
389.103	5241	
389.176	5144	
389.249	5352	
389.322	5307	
389.394	5535	
389.467	5550	
389.54	5325	
389.613	5500	
389.686	5605	
389.759	5518	
389.832	5779	
389.905	5877	
389.978	5926	
390.052	6006	
390.125	6142	
390.198	6222	
390.271	6160	
390.344	6385	
390.418	6526	
390.491	6419	
390.564	6486	
390.638	6832	
390.711	6932	
390.785	7086	
390.858	7216	
390.932	7419	
391.005	7583	
391.079	7824	
391.152	8021	
391.226	8153	
391.3	8407	
391.373	8738	
391.447	8944	
391.521	9216	
391.595	9237	
391.669	9360	
391.742	9560	
391.816	9440	
391.89	9833	
391.964	10050	
392.038	9797	
392.112	9913	
392.186	9780	
392.26	9885	
392.335	9903	
392.409	9760	
392.483	9903	
392.557	9617	
392.631	9658	
392.706	9770	
392.78	9570	
392.854	9609	
392.929	9579	
393.003	9528	
393.078	9503	
393.152	9513	
393.227	9457	
393.301	9412	
393.376	9779	
393.45	9628	
393.525	9463	
393.6	9942	
393.675	9797	
393.749	10029	
393.824	9866	
393.899	10435	
393.974	10308	
394.049	10820	
394.124	10819	
394.199	11157	
394.274	11121	
394.349	11151	
394.424	10695	
394.499	10685	
394.574	10442	
394.649	9924	
394.724	9769	
394.799	9365	
394.875	8922	
394.95	8649	
395.025	8355	
395.101	8443	
395.176	8316	
395.251	7977	
395.327	8195	
395.402	7975	
395.478	8269	
395.554	8514	
395.629	8824	
395.705	9170	
395.78	9585	
395.856	10132	
395.932	10464	
396.008	11141	
396.083	11780	
396.159	11763	
396.235	12434	
396.311	12214	
396.387	11767	
396.463	11293	
396.539	10491	
396.615	9572	
396.691	9105	
396.767	7922	
396.843	7360	
396.919	6645	
396.996	6212	
397.072	5577	
397.148	5142	
397.224	4806	
397.301	4378	
397.377	4097	
397.454	3794	
397.53	3482	
397.606	3183	
397.683	3077	
397.76	2941	
397.836	2744	
397.913	2585	
397.989	2584	
398.066	2424	
398.143	2369	
398.22	2266	
398.296	2269	
398.373	2203	
398.45	2055	
398.527	2013	
398.604	1996	
398.681	1987	
398.758	2050	
398.835	1956	
398.912	1936	
398.989	1908	
399.066	1948	
399.143	1879	
399.22	1829	
399.298	1888	
399.375	1745	
399.452	1748	
399.53	1775	
399.607	1643	
399.684	1665	
399.762	1734	
399.839	1606	
399.917	1600	
399.994	1637	
400.072	1632	
400.15	1558	
400.227	1582	
400.305	1602	
400.383	1633	
400.46	1591	
400.538	1517	
400.616	1633	
400.694	1569	
400.772	1508	
400.85	1558	
400.928	1576	
401.006	1518	
401.084	1422	
401.162	1454	
401.24	1436	
401.318	1443	
401.396	1528	
401.475	1426	
401.553	1415	
401.631	1417	
401.709	1377	
401.788	1443	
401.866	1472	
401.945	1426	
402.023	1448	
402.102	1336	
402.18	1411	
402.259	1373	
402.337	1375	
402.416	1420	
402.495	1362	
402.573	1351	
402.652	1376	
402.731	1285	
402.81	1418	
402.889	1347	
402.967	1328	
403.046	1317	
403.125	1310	
403.204	1335	
403.283	1302	
403.362	1309	
403.442	1317	
403.521	1284	
403.6	1286	
403.679	1292	
403.758	1279	
403.838	1261	
403.917	1252	
403.996	1265	
404.076	1303	
404.155	1279	
404.235	1230	
404.314	1223	
404.394	1226	
404.473	1237	
404.553	1222	
404.633	1272	
404.712	1219	
404.792	1242	
404.872	1200	
404.952	1150	
405.031	1163	
405.111	1200	
405.191	1194	
405.271	1235	
405.351	1237	
405.431	1177	
405.511	1197	
405.591	1158	
405.671	1213	
405.752	1121	
405.832	1132	
405.912	1133	
405.992	1164	
406.073	1121	
406.153	1170	
406.233	1143	
406.314	1183	
406.394	1230	
406.475	1154	
406.555	1175	
406.636	1134	
406.716	1165	
406.797	1110	
406.878	1181	
406.958	1116	
407.039	1101	
407.12	1176	
407.201	1064	
407.282	1125	
407.363	1161	
407.444	1123	
407.525	1161	
407.606	1173	
407.687	1135	
407.768	1135	
407.849	1123	
407.93	1151	
408.011	1105	
408.092	1164	
408.174	1109	
408.255	1083	
408.336	1087	
408.418	1073	
408.499	1092	
408.581	1140	
408.662	1145	
408.744	1052	
408.825	1077	
408.907	1099	
408.989	1116	
409.07	1105	
409.152	1080	
409.234	1079	
409.316	1046	
409.397	1076	
409.479	1103	
409.561	1096	
409.643	1035	
409.725	1074	
409.807	1090	
409.889	1129	
409.971	1092	
410.054	1032	
410.136	1106	
410.218	1103	
410.3	1039	
410.382	1092	
410.465	1027	
410.547	1096	
410.63	1080	
410.712	1049	
410.795	1042	
410.877	1022	
410.96	1033	
411.042	998	
411.125	1003	
411.208	1096	
411.29	1056	
411.373	1057	
411.456	986	
411.539	1017	
411.622	1005	
411.704	973	
411.787	970	
411.87	972	
411.953	956	
412.036	953	
412.12	968	
412.203	947	
412.286	944	
412.369	972	
412.452	953	
412.536	987	
412.619	989	
412.702	964	
412.786	955	
412.869	957	
412.953	921	
413.036	977	
413.12	951	
413.204	994	
413.287	969	
413.371	954	
413.455	926	
413.538	960	
413.622	883	
413.706	925	
413.79	895	
413.874	913	
413.958	924	
414.042	1009	
414.126	927	
414.21	915	
414.294	952	
414.378	955	
414.462	956	
414.547	876	
414.631	924	
414.715	961	
414.8	922	
414.884	898	
414.968	915	
415.053	925	
415.137	904	
415.222	908	
415.307	886	
415.391	894	
