Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3
Blazed 	2.6(0:0:0) 	176.5 	0 	685 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.327691 	0.0277649 	0.0207171 	0.019595
Blazed 	2.6(0:0:0) 	176.5 	0 	690 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.326795 	0.0275416 	0.0204765 	0.0194756
Blazed 	2.6(0:0:0) 	176.5 	0 	695 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.325862 	0.0273149 	0.020234 	0.0193502
Blazed 	2.6(0:0:0) 	176.5 	0 	700 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.324805 	0.0270807 	0.0199878 	0.0192185
Blazed 	2.6(0:0:0) 	176.5 	0 	705 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.323685 	0.0268418 	0.0197394 	0.0190805
Blazed 	2.6(0:0:0) 	176.5 	0 	710 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.322394 	0.0265927 	0.0194859 	0.0189352
Blazed 	2.6(0:0:0) 	176.5 	0 	715 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.321104 	0.0263517 	0.0192394 	0.0187914
Blazed 	2.6(0:0:0) 	176.5 	0 	720 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.319824 	0.0261151 	0.018997 	0.0186459
Blazed 	2.6(0:0:0) 	176.5 	0 	725 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.31858 	0.0258904 	0.0187643 	0.0185042
Blazed 	2.6(0:0:0) 	176.5 	0 	730 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.31737 	0.0256697 	0.0185351 	0.0183602
Blazed 	2.6(0:0:0) 	176.5 	0 	735 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.316211 	0.025458 	0.0183132 	0.0182176
Blazed 	2.6(0:0:0) 	176.5 	0 	740 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.315115 	0.0252558 	0.0180988 	0.0180767
Blazed 	2.6(0:0:0) 	176.5 	0 	745 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.31407 	0.0250604 	0.01789 	0.017936
