Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	2.6(0:0:0) 	176.5 	0 	525 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.349693 	0.0304824 	0.0241384 	0.0199404
Blazed 	2.6(0:0:0) 	176.5 	0 	530 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.346069 	0.0300031 	0.0237532 	0.0198352
Blazed 	2.6(0:0:0) 	176.5 	0 	535 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.342508 	0.0295633 	0.0233966 	0.0197566
Blazed 	2.6(0:0:0) 	176.5 	0 	540 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.339231 	0.0291818 	0.0230799 	0.0197062
Blazed 	2.6(0:0:0) 	176.5 	0 	545 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.336335 	0.0288655 	0.0228071 	0.0196843
Blazed 	2.6(0:0:0) 	176.5 	0 	550 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.33422 	0.0286599 	0.0226089 	0.0197089
Blazed 	2.6(0:0:0) 	176.5 	0 	555 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.333234 	0.0285571 	0.0224714 	0.0197485
Blazed 	2.6(0:0:0) 	176.5 	0 	560 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.332761 	0.028495 	0.0223559 	0.0197867
Blazed 	2.6(0:0:0) 	176.5 	0 	565 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.332574 	0.0284498 	0.0222474 	0.0198174
Blazed 	2.6(0:0:0) 	176.5 	0 	570 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.332557 	0.0284075 	0.0221368 	0.0198356
Blazed 	2.6(0:0:0) 	176.5 	0 	575 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.33245 	0.0283272 	0.0219951 	0.0198193
Blazed 	2.6(0:0:0) 	176.5 	0 	580 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.332293 	0.0282339 	0.0218428 	0.0197911
Blazed 	2.6(0:0:0) 	176.5 	0 	585 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.7 	80 	  	0.332086 	0.0281307 	0.0216828 	0.0197538
