Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3
Blazed 	2.6(0:0:0) 	176.5 	0 	690 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.303345 	0.0146421 	0.00719718 	0.00630632
Blazed 	2.6(0:0:0) 	176.5 	0 	695 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.302347 	0.014493 	0.00708126 	0.00617828
Blazed 	2.6(0:0:0) 	176.5 	0 	700 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.301214 	0.0143396 	0.00696508 	0.0060507
Blazed 	2.6(0:0:0) 	176.5 	0 	705 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.300006 	0.0141831 	0.006849 	0.0059239
Blazed 	2.6(0:0:0) 	176.5 	0 	710 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.298613 	0.0140212 	0.00673224 	0.0057973
Blazed 	2.6(0:0:0) 	176.5 	0 	715 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.297224 	0.0138652 	0.00662011 	0.00567527
Blazed 	2.6(0:0:0) 	176.5 	0 	720 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.295842 	0.013712 	0.00651077 	0.00555632
Blazed 	2.6(0:0:0) 	176.5 	0 	725 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.294503 	0.0135671 	0.00640707 	0.00544279
Blazed 	2.6(0:0:0) 	176.5 	0 	730 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.293194 	0.0134243 	0.00630555 	0.00533188
Blazed 	2.6(0:0:0) 	176.5 	0 	735 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.291939 	0.0132872 	0.00620803 	0.00522506
Blazed 	2.6(0:0:0) 	176.5 	0 	740 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.29075 	0.0131561 	0.00611451 	0.00512236
Blazed 	2.6(0:0:0) 	176.5 	0 	745 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.289613 	0.013029 	0.00602393 	0.00502291
Blazed 	2.6(0:0:0) 	176.5 	0 	750 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.288553 	0.0129096 	0.00593809 	0.00492815
Blazed 	2.6(0:0:0) 	176.5 	0 	755 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.287535 	0.0127923 	0.00585415 	0.00483579
Blazed 	2.6(0:0:0) 	176.5 	0 	760 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.286636 	0.0126845 	0.00577559 	0.00474861
Blazed 	2.6(0:0:0) 	176.5 	0 	765 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.285841 	0.0125825 	0.00570041 	0.00466497
Blazed 	2.6(0:0:0) 	176.5 	0 	770 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.285219 	0.0124913 	0.00563091 	0.00458665
Blazed 	2.6(0:0:0) 	176.5 	0 	775 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.284869 	0.012411 	0.00556654 	0.00451315
Blazed 	2.6(0:0:0) 	176.5 	0 	780 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.284746 	0.0123392 	0.00550626 	0.00444361
Blazed 	2.6(0:0:0) 	176.5 	0 	785 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.284676 	0.0122648 	0.00544508 	0.00437416
Blazed 	2.6(0:0:0) 	176.5 	0 	790 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.284659 	0.0121899 	0.00538403 	0.0043056
Blazed 	2.6(0:0:0) 	176.5 	0 	795 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.284605 	0.0121076 	0.00532002 	0.00423557
