Optimizing GRoove DEpth:
Original grating Efficiency:

Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.013 	0.41666666666667 	na 	na  	0.390156 	0.0652031 	0.00830195 	0.00602146
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0098 	0.41666666666667 	na 	na  	0.4291 	0.0800933 	0.00756154 	0.00482518
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0097 	0.41666666666667 	na 	na  	0.431171 	0.08014 	0.00744827 	0.00479257
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0096 	0.41666666666667 	na 	na  	0.433292 	0.0801528 	0.00733098 	0.00476094
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0095 	0.41666666666667 	na 	na  	0.435464 	0.0801311 	0.0072099 	0.00473027
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0097 	0.41666666666667 	na 	na  	0.431171 	0.08014 	0.00744827 	0.00479257


Optimized Groove depth:Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0096 	0.41666666666667 	na 	na  	0.433292 	0.0801528 	0.00733098 	0.00476094


