Mono	Sample	Tilt	Azimuth	Detector	X	Y	Z	Axis	Start	Stop	N
2.270	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.274	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.277	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.281	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.284	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.288	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.292	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.295	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.299	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.302	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.306	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.310	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.313	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.317	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.320	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.324	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.328	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.331	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.335	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.338	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.342	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.346	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.349	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.353	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.356	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.360	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.364	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.367	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.371	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.374	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.378	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.382	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.385	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.389	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.392	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.396	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.400	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.403	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.407	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.410	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.414	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.418	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.421	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.425	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.428	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.432	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.436	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.439	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.443	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.446	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.450	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.454	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.457	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.461	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.464	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.468	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.472	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.475	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.479	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.482	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.486	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.490	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.493	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.497	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.500	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.504	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.508	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.511	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.515	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.518	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.522	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.526	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.529	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.533	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.536	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.540	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.544	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.547	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.551	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.554	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.558	2	NaN	NaN	2.000	NaN	NaN	NaN	n	NaN	NaN	NaN
