Mono	Sample	Tilt	Azimuth	Detector	X	Y	Z	Axis	Start	Stop	N
2.730	2	NaN	NaN	11.998	NaN	NaN	NaN	n	NaN	NaN	NaN
2.740	2	NaN	NaN	12.016	NaN	NaN	NaN	n	NaN	NaN	NaN
2.750	2	NaN	NaN	12.034	NaN	NaN	NaN	n	NaN	NaN	NaN
2.761	2	NaN	NaN	12.053	NaN	NaN	NaN	n	NaN	NaN	NaN
2.771	2	NaN	NaN	12.070	NaN	NaN	NaN	n	NaN	NaN	NaN
2.781	2	NaN	NaN	12.088	NaN	NaN	NaN	n	NaN	NaN	NaN
2.791	2	NaN	NaN	12.105	NaN	NaN	NaN	n	NaN	NaN	NaN
2.801	2	NaN	NaN	12.123	NaN	NaN	NaN	n	NaN	NaN	NaN
2.812	2	NaN	NaN	12.142	NaN	NaN	NaN	n	NaN	NaN	NaN
2.822	2	NaN	NaN	12.159	NaN	NaN	NaN	n	NaN	NaN	NaN
2.832	2	NaN	NaN	12.177	NaN	NaN	NaN	n	NaN	NaN	NaN
2.842	2	NaN	NaN	12.194	NaN	NaN	NaN	n	NaN	NaN	NaN
2.852	2	NaN	NaN	12.211	NaN	NaN	NaN	n	NaN	NaN	NaN
2.863	2	NaN	NaN	12.230	NaN	NaN	NaN	n	NaN	NaN	NaN
2.873	2	NaN	NaN	12.247	NaN	NaN	NaN	n	NaN	NaN	NaN
2.883	2	NaN	NaN	12.265	NaN	NaN	NaN	n	NaN	NaN	NaN
2.893	2	NaN	NaN	12.282	NaN	NaN	NaN	n	NaN	NaN	NaN
2.903	2	NaN	NaN	12.299	NaN	NaN	NaN	n	NaN	NaN	NaN
2.914	2	NaN	NaN	12.318	NaN	NaN	NaN	n	NaN	NaN	NaN
2.924	2	NaN	NaN	12.335	NaN	NaN	NaN	n	NaN	NaN	NaN
2.934	2	NaN	NaN	12.352	NaN	NaN	NaN	n	NaN	NaN	NaN
2.944	2	NaN	NaN	12.369	NaN	NaN	NaN	n	NaN	NaN	NaN
2.954	2	NaN	NaN	12.386	NaN	NaN	NaN	n	NaN	NaN	NaN
2.965	2	NaN	NaN	12.404	NaN	NaN	NaN	n	NaN	NaN	NaN
2.975	2	NaN	NaN	12.421	NaN	NaN	NaN	n	NaN	NaN	NaN
2.985	2	NaN	NaN	12.438	NaN	NaN	NaN	n	NaN	NaN	NaN
2.995	2	NaN	NaN	12.455	NaN	NaN	NaN	n	NaN	NaN	NaN
3.005	2	NaN	NaN	12.472	NaN	NaN	NaN	n	NaN	NaN	NaN
3.016	2	NaN	NaN	12.490	NaN	NaN	NaN	n	NaN	NaN	NaN
3.026	2	NaN	NaN	12.507	NaN	NaN	NaN	n	NaN	NaN	NaN
3.036	2	NaN	NaN	12.524	NaN	NaN	NaN	n	NaN	NaN	NaN
3.046	2	NaN	NaN	12.541	NaN	NaN	NaN	n	NaN	NaN	NaN
3.056	2	NaN	NaN	12.557	NaN	NaN	NaN	n	NaN	NaN	NaN
3.067	2	NaN	NaN	12.576	NaN	NaN	NaN	n	NaN	NaN	NaN
3.077	2	NaN	NaN	12.592	NaN	NaN	NaN	n	NaN	NaN	NaN
3.087	2	NaN	NaN	12.609	NaN	NaN	NaN	n	NaN	NaN	NaN
3.097	2	NaN	NaN	12.626	NaN	NaN	NaN	n	NaN	NaN	NaN
3.107	2	NaN	NaN	12.642	NaN	NaN	NaN	n	NaN	NaN	NaN
3.118	2	NaN	NaN	12.660	NaN	NaN	NaN	n	NaN	NaN	NaN
3.128	2	NaN	NaN	12.677	NaN	NaN	NaN	n	NaN	NaN	NaN
3.138	2	NaN	NaN	12.693	NaN	NaN	NaN	n	NaN	NaN	NaN
3.148	2	NaN	NaN	12.710	NaN	NaN	NaN	n	NaN	NaN	NaN
3.158	2	NaN	NaN	12.726	NaN	NaN	NaN	n	NaN	NaN	NaN
3.169	2	NaN	NaN	12.744	NaN	NaN	NaN	n	NaN	NaN	NaN
3.179	2	NaN	NaN	12.761	NaN	NaN	NaN	n	NaN	NaN	NaN
3.189	2	NaN	NaN	12.777	NaN	NaN	NaN	n	NaN	NaN	NaN
3.199	2	NaN	NaN	12.794	NaN	NaN	NaN	n	NaN	NaN	NaN
3.209	2	NaN	NaN	12.810	NaN	NaN	NaN	n	NaN	NaN	NaN
3.220	2	NaN	NaN	12.828	NaN	NaN	NaN	n	NaN	NaN	NaN
3.230	2	NaN	NaN	12.844	NaN	NaN	NaN	n	NaN	NaN	NaN
3.240	2	NaN	NaN	12.860	NaN	NaN	NaN	n	NaN	NaN	NaN
3.250	2	NaN	NaN	12.877	NaN	NaN	NaN	n	NaN	NaN	NaN
3.260	2	NaN	NaN	12.893	NaN	NaN	NaN	n	NaN	NaN	NaN
3.271	2	NaN	NaN	12.911	NaN	NaN	NaN	n	NaN	NaN	NaN
3.281	2	NaN	NaN	12.927	NaN	NaN	NaN	n	NaN	NaN	NaN
3.291	2	NaN	NaN	12.943	NaN	NaN	NaN	n	NaN	NaN	NaN
3.301	2	NaN	NaN	12.959	NaN	NaN	NaN	n	NaN	NaN	NaN
3.311	2	NaN	NaN	12.975	NaN	NaN	NaN	n	NaN	NaN	NaN
3.322	2	NaN	NaN	12.993	NaN	NaN	NaN	n	NaN	NaN	NaN
