Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		275 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.117589 	0.000419417 	0.00120946
Blazed 	1.2(0:0:0) 		176 		 0 		280 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.119501 	0.000511732 	0.00128542
Blazed 	1.2(0:0:0) 		176 		 0 		285 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.121364 	0.000619535 	0.00136135
Blazed 	1.2(0:0:0) 		176 		 0 		290 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.123208 	0.000743699 	0.00143762
Blazed 	1.2(0:0:0) 		176 		 0 		295 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.12502 	0.000884612 	0.00151368
Blazed 	1.2(0:0:0) 		176 		 0 		300 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.126797 	0.00104251 	0.00158922
Blazed 	1.2(0:0:0) 		176 		 0 		305 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.128529 	0.00121734 	0.00166381
Blazed 	1.2(0:0:0) 		176 		 0 		310 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.130249 	0.00140984 	0.00173802
Blazed 	1.2(0:0:0) 		176 		 0 		315 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.131955 	0.00162057 	0.00181152
Blazed 	1.2(0:0:0) 		176 		 0 		320 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.133642 	0.00184973 	0.00188398
Blazed 	1.2(0:0:0) 		176 		 0 		325 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.135308 	0.00209757 	0.00195517
Blazed 	1.2(0:0:0) 		176 		 0 		330 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.136959 	0.00236443 	0.00202501
Blazed 	1.2(0:0:0) 		176 		 0 		335 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.138598 	0.00265083 	0.00209343
Blazed 	1.2(0:0:0) 		176 		 0 		340 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.140226 	0.00295711 	0.00216022
Blazed 	1.2(0:0:0) 		176 		 0 		345 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.141846 	0.00328365 	0.00222527
Blazed 	1.2(0:0:0) 		176 		 0 		350 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.143462 	0.00363102 	0.0022885
Blazed 	1.2(0:0:0) 		176 		 0 		355 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.145077 	0.00399975 	0.00234984
Blazed 	1.2(0:0:0) 		176 		 0 		360 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.146696 	0.00439051 	0.00240923
Blazed 	1.2(0:0:0) 		176 		 0 		365 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.148325 	0.00480408 	0.00246668
Blazed 	1.2(0:0:0) 		176 		 0 		370 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.149972 	0.00524147 	0.00252221
Blazed 	1.2(0:0:0) 		176 		 0 		375 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.151663 	0.00570502 	0.00257647
Blazed 	1.2(0:0:0) 		176 		 0 		380 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.153429 	0.00619777 	0.00263003
Blazed 	1.2(0:0:0) 		176 		 0 		385 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.15532 	0.0067256 	0.00268363
Blazed 	1.2(0:0:0) 		176 		 0 		390 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.157351 	0.00729209 	0.00273692
Blazed 	1.2(0:0:0) 		176 		 0 		395 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.159491 	0.00789786 	0.00278787
Blazed 	1.2(0:0:0) 		176 		 0 		400 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.161631 	0.00853744 	0.00283028
Blazed 	1.2(0:0:0) 		176 		 0 		405 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.163452 	0.0091783 	0.00285825
Blazed 	1.2(0:0:0) 		176 		 0 		410 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.165104 	0.00982961 	0.00287732
Blazed 	1.2(0:0:0) 		176 		 0 		415 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.166624 	0.0104928 	0.00288881
Blazed 	1.2(0:0:0) 		176 		 0 		420 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.168039 	0.0111688 	0.0028935
Blazed 	1.2(0:0:0) 		176 		 0 		425 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.169355 	0.0118569 	0.00289202
Blazed 	1.2(0:0:0) 		176 		 0 		430 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.170607 	0.01256 	0.00288495
Blazed 	1.2(0:0:0) 		176 		 0 		435 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.171799 	0.0132777 	0.00287248
Blazed 	1.2(0:0:0) 		176 		 0 		440 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.172929 	0.0140088 	0.00285499
Blazed 	1.2(0:0:0) 		176 		 0 		445 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.174041 	0.0147586 	0.00283348
Blazed 	1.2(0:0:0) 		176 		 0 		450 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.175114 	0.0155237 	0.00280706
Blazed 	1.2(0:0:0) 		176 		 0 		455 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.176133 	0.0163016 	0.00277548
Blazed 	1.2(0:0:0) 		176 		 0 		460 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.177078 	0.0170882 	0.00273889
Blazed 	1.2(0:0:0) 		176 		 0 		465 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.177955 	0.0178831 	0.00269747
Blazed 	1.2(0:0:0) 		176 		 0 		470 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.178758 	0.018684 	0.00265141
Blazed 	1.2(0:0:0) 		176 		 0 		475 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.179468 	0.0194864 	0.00260145
Blazed 	1.2(0:0:0) 		176 		 0 		480 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.180116 	0.0202942 	0.00254775
Blazed 	1.2(0:0:0) 		176 		 0 		485 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.180698 	0.0211053 	0.00249068
Blazed 	1.2(0:0:0) 		176 		 0 		490 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181196 	0.0219152 	0.00243067
Blazed 	1.2(0:0:0) 		176 		 0 		495 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181625 	0.0227253 	0.00236772
Blazed 	1.2(0:0:0) 		176 		 0 		500 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181968 	0.023531 	0.00230229
Blazed 	1.2(0:0:0) 		176 		 0 		505 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.182201 	0.0243253 	0.00223438
Blazed 	1.2(0:0:0) 		176 		 0 		510 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.182332 	0.025108 	0.00216424
Blazed 	1.2(0:0:0) 		176 		 0 		515 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.18216 	0.0258338 	0.00209126
Blazed 	1.2(0:0:0) 		176 		 0 		520 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181851 	0.0265351 	0.00201818
Blazed 	1.2(0:0:0) 		176 		 0 		525 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181379 	0.027205 	0.00194569
Blazed 	1.2(0:0:0) 		176 		 0 		530 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.180867 	0.0278746 	0.00187799
Blazed 	1.2(0:0:0) 		176 		 0 		535 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.180332 	0.0285445 	0.00181199
Blazed 	1.2(0:0:0) 		176 		 0 		540 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.18031 	0.029352 	0.00175334
Blazed 	1.2(0:0:0) 		176 		 0 		545 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.180462 	0.0302147 	0.00169558
Blazed 	1.2(0:0:0) 		176 		 0 		550 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181026 	0.0311992 	0.00164024
Blazed 	1.2(0:0:0) 		176 		 0 		555 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181892 	0.0322738 	0.00158274
Blazed 	1.2(0:0:0) 		176 		 0 		560 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.182991 	0.0334264 	0.00152334
