Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Rectangular 	1.2(0:0:0) 		176 		 0 		250 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.550392 	0.0576456 	0.00337758 	0.00323026
Rectangular 	1.2(0:0:0) 		176 		 0 		255 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.546079 	0.0587745 	0.00352288 	0.00328682
Rectangular 	1.2(0:0:0) 		176 		 0 		260 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.542194 	0.0599412 	0.00367493 	0.00334839
Rectangular 	1.2(0:0:0) 		176 		 0 		265 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.537956 	0.0609856 	0.00381129 	0.00340108
Rectangular 	1.2(0:0:0) 		176 		 0 		270 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.533399 	0.0619309 	0.00393679 	0.0034467
Rectangular 	1.2(0:0:0) 		176 		 0 		275 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.528707 	0.0628141 	0.0040564 	0.00348847
Rectangular 	1.2(0:0:0) 		176 		 0 		280 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.52386 	0.0636308 	0.00416934 	0.00352596
Rectangular 	1.2(0:0:0) 		176 		 0 		285 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.51898 	0.0644123 	0.00428073 	0.0035619
Rectangular 	1.2(0:0:0) 		176 		 0 		290 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.514175 	0.0651785 	0.00439301 	0.00359815
Rectangular 	1.2(0:0:0) 		176 		 0 		295 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.509431 	0.0659247 	0.00450512 	0.00363434
Rectangular 	1.2(0:0:0) 		176 		 0 		300 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.504742 	0.0666493 	0.00461673 	0.00367035
Rectangular 	1.2(0:0:0) 		176 		 0 		305 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.500099 	0.0673425 	0.00472578 	0.00370548
Rectangular 	1.2(0:0:0) 		176 		 0 		310 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.495521 	0.0680288 	0.00483741 	0.00374156
Rectangular 	1.2(0:0:0) 		176 		 0 		315 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.491042 	0.0687054 	0.0049503 	0.00377864
Rectangular 	1.2(0:0:0) 		176 		 0 		320 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.48665 	0.0693693 	0.00506392 	0.00381646
Rectangular 	1.2(0:0:0) 		176 		 0 		325 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.482339 	0.0700201 	0.0051782 	0.00385501
Rectangular 	1.2(0:0:0) 		176 		 0 		330 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.478112 	0.0706595 	0.0052935 	0.00389449
Rectangular 	1.2(0:0:0) 		176 		 0 		335 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.473982 	0.0712906 	0.00541026 	0.00393523
Rectangular 	1.2(0:0:0) 		176 		 0 		340 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.469945 	0.0719135 	0.00552849 	0.00397728
Rectangular 	1.2(0:0:0) 		176 		 0 		345 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.466005 	0.0725291 	0.00564837 	0.00402077
Rectangular 	1.2(0:0:0) 		176 		 0 		350 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.462166 	0.0731399 	0.00577034 	0.00406599
Rectangular 	1.2(0:0:0) 		176 		 0 		355 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.458434 	0.0737476 	0.00589474 	0.00411318
Rectangular 	1.2(0:0:0) 		176 		 0 		360 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.454815 	0.0743545 	0.00602201 	0.00416262
Rectangular 	1.2(0:0:0) 		176 		 0 		365 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.451316 	0.0749634 	0.00615278 	0.00421469
Rectangular 	1.2(0:0:0) 		176 		 0 		370 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.447947 	0.075578 	0.0062878 	0.00426986
