Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		285 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.106251 	0.000645585 	error
Blazed 	1.2(0:0:0) 		176 		 0 		290 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.108263 	0.000726434 	error
Blazed 	1.2(0:0:0) 		176 		 0 		295 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.110238 	0.000818778 	error
Blazed 	1.2(0:0:0) 		176 		 0 		300 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.1122 	0.00092326 	error
Blazed 	1.2(0:0:0) 		176 		 0 		305 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.114177 	0.00104069 	error
Blazed 	1.2(0:0:0) 		176 		 0 		310 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.116231 	0.00117269 	error
Blazed 	1.2(0:0:0) 		176 		 0 		315 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.118262 	0.00132032 	error
Blazed 	1.2(0:0:0) 		176 		 0 		320 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.120188 	0.00148099 	error
Blazed 	1.2(0:0:0) 		176 		 0 		325 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.122041 	0.00165475 	error
Blazed 	1.2(0:0:0) 		176 		 0 		330 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.12387 	0.0018428 	error
Blazed 	1.2(0:0:0) 		176 		 0 		335 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.125691 	0.00204583 	error
Blazed 	1.2(0:0:0) 		176 		 0 		340 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.127523 	0.00226476 	error
Blazed 	1.2(0:0:0) 		176 		 0 		345 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.129394 	0.002501 	error
Blazed 	1.2(0:0:0) 		176 		 0 		350 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.131405 	0.0027587 	error
Blazed 	1.2(0:0:0) 		176 		 0 		355 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.133396 	0.00303658 	error
Blazed 	1.2(0:0:0) 		176 		 0 		360 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.135242 	0.0033301 	error
Blazed 	1.2(0:0:0) 		176 		 0 		365 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.136951 	0.00363638 	error
Blazed 	1.2(0:0:0) 		176 		 0 		370 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.138559 	0.00395635 	error
Blazed 	1.2(0:0:0) 		176 		 0 		375 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.140108 	0.0042913 	error
Blazed 	1.2(0:0:0) 		176 		 0 		380 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.141614 	0.00464205 	error
Blazed 	1.2(0:0:0) 		176 		 0 		385 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.143089 	0.00500924 	error
Blazed 	1.2(0:0:0) 		176 		 0 		390 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.144546 	0.00539364 	error
Blazed 	1.2(0:0:0) 		176 		 0 		395 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.146002 	0.00579657 	error
Blazed 	1.2(0:0:0) 		176 		 0 		400 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.14751 	0.00622166 	error
Blazed 	1.2(0:0:0) 		176 		 0 		405 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.149038 	0.00667054 	error
Blazed 	1.2(0:0:0) 		176 		 0 		410 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.150463 	0.00713406 	error
Blazed 	1.2(0:0:0) 		176 		 0 		415 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.151772 	0.00760973 	error
Blazed 	1.2(0:0:0) 		176 		 0 		420 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.152965 	0.00809592 	error
Blazed 	1.2(0:0:0) 		176 		 0 		425 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.154091 	0.00859525 	error
Blazed 	1.2(0:0:0) 		176 		 0 		430 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.155167 	0.00910906 	error
Blazed 	1.2(0:0:0) 		176 		 0 		435 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.156196 	0.00963731 	error
Blazed 	1.2(0:0:0) 		176 		 0 		440 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.157185 	0.01018 	error
Blazed 	1.2(0:0:0) 		176 		 0 		445 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.158166 	0.0107402 	error
Blazed 	1.2(0:0:0) 		176 		 0 		450 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.15913 	0.0113178 	error
Blazed 	1.2(0:0:0) 		176 		 0 		455 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.160083 	0.0119137 	error
Blazed 	1.2(0:0:0) 		176 		 0 		460 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.160939 	0.0125181 	error
Blazed 	1.2(0:0:0) 		176 		 0 		465 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.161732 	0.0131335 	error
Blazed 	1.2(0:0:0) 		176 		 0 		470 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.162464 	0.0137589 	error
Blazed 	1.2(0:0:0) 		176 		 0 		475 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.16314 	0.014394 	error
Blazed 	1.2(0:0:0) 		176 		 0 		480 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.163773 	0.0150403 	error
Blazed 	1.2(0:0:0) 		176 		 0 		485 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.164363 	0.015697 	error
Blazed 	1.2(0:0:0) 		176 		 0 		490 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.164915 	0.016364 	error
Blazed 	1.2(0:0:0) 		176 		 0 		495 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.165429 	0.0170414 	error
Blazed 	1.2(0:0:0) 		176 		 0 		500 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.165908 	0.0177288 	error
Blazed 	1.2(0:0:0) 		176 		 0 		505 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.166364 	0.0184275 	error
Blazed 	1.2(0:0:0) 		176 		 0 		510 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.166789 	0.0191362 	error
Blazed 	1.2(0:0:0) 		176 		 0 		515 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.167189 	0.0198554 	error
Blazed 	1.2(0:0:0) 		176 		 0 		520 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.167553 	0.0205827 	error
Blazed 	1.2(0:0:0) 		176 		 0 		525 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.167881 	0.0213173 	error
Blazed 	1.2(0:0:0) 		176 		 0 		530 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.168179 	0.0220599 	error
Blazed 	1.2(0:0:0) 		176 		 0 		535 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.168445 	0.0228094 	error
Blazed 	1.2(0:0:0) 		176 		 0 		540 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.16869 	0.0235673 	error
Blazed 	1.2(0:0:0) 		176 		 0 		545 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.168905 	0.0243319 	error
Blazed 	1.2(0:0:0) 		176 		 0 		550 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.1691 	0.0251041 	error
Blazed 	1.2(0:0:0) 		176 		 0 		555 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169275 	0.025884 	error
Blazed 	1.2(0:0:0) 		176 		 0 		560 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169428 	0.0266704 	error
Blazed 	1.2(0:0:0) 		176 		 0 		565 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169583 	0.027469 	error
Blazed 	1.2(0:0:0) 		176 		 0 		570 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169716 	0.0282739 	error
Blazed 	1.2(0:0:0) 		176 		 0 		575 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169829 	0.0290847 	error
Blazed 	1.2(0:0:0) 		176 		 0 		580 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169915 	0.0298988 	error
Blazed 	1.2(0:0:0) 		176 		 0 		585 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169977 	0.0307172 	error
