Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		100 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0572932 	0.00400575 	0.000243211
Blazed 	1.2(0:0:0) 		176 		 0 		105 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0621661 	0.00400712 	0.000208749
Blazed 	1.2(0:0:0) 		176 		 0 		110 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0667826 	0.00394105 	0.000172839
Blazed 	1.2(0:0:0) 		176 		 0 		115 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712246 	0.00382571 	0.000138941
Blazed 	1.2(0:0:0) 		176 		 0 		120 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0755469 	0.00366644 	0.000108806
Blazed 	1.2(0:0:0) 		176 		 0 		125 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0797601 	0.00346878 	8.4746E-05
Blazed 	1.2(0:0:0) 		176 		 0 		130 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0841028 	0.00324638 	6.84635E-05
Blazed 	1.2(0:0:0) 		176 		 0 		135 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0878289 	0.00293962 	6.40417E-05
Blazed 	1.2(0:0:0) 		176 		 0 		140 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0905728 	0.0025792 	7.97657E-05
Blazed 	1.2(0:0:0) 		176 		 0 		145 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0927458 	0.00219548 	0.000117771
Blazed 	1.2(0:0:0) 		176 		 0 		150 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0939927 	0.00181826 	0.000173486
