Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		275 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0719696 	0.00234648 	0.000679966
Blazed 	1.2(0:0:0) 		176 		 0 		280 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0718712 	0.00245346 	0.000693839
Blazed 	1.2(0:0:0) 		176 		 0 		285 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0718399 	0.00256212 	0.000712241
Blazed 	1.2(0:0:0) 		176 		 0 		290 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715988 	0.00265716 	0.000728713
Blazed 	1.2(0:0:0) 		176 		 0 		295 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714341 	0.00275728 	0.000742506
Blazed 	1.2(0:0:0) 		176 		 0 		300 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714332 	0.00286134 	0.00074886
Blazed 	1.2(0:0:0) 		176 		 0 		305 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712002 	0.00297258 	0.000742697
Blazed 	1.2(0:0:0) 		176 		 0 		310 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0711383 	0.00308672 	0.000725184
Blazed 	1.2(0:0:0) 		176 		 0 		315 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712417 	0.00319784 	0.000700767
Blazed 	1.2(0:0:0) 		176 		 0 		320 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0711417 	0.00330435 	0.000669706
Blazed 	1.2(0:0:0) 		176 		 0 		325 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712127 	0.00338672 	0.000645755
Blazed 	1.2(0:0:0) 		176 		 0 		330 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712701 	0.00344525 	0.000632878
Blazed 	1.2(0:0:0) 		176 		 0 		335 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712877 	0.0034664 	0.000635183
Blazed 	1.2(0:0:0) 		176 		 0 		340 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714302 	0.00347229 	0.000653749
Blazed 	1.2(0:0:0) 		176 		 0 		345 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715343 	0.00345622 	0.000680876
Blazed 	1.2(0:0:0) 		176 		 0 		350 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715461 	0.00342653 	0.000707021
Blazed 	1.2(0:0:0) 		176 		 0 		355 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715794 	0.00341268 	0.000723093
Blazed 	1.2(0:0:0) 		176 		 0 		360 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715349 	0.00341778 	0.000719618
Blazed 	1.2(0:0:0) 		176 		 0 		365 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.071324 	0.00344424 	0.000689784
Blazed 	1.2(0:0:0) 		176 		 0 		370 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.071284 	0.00352146 	0.00064253
Blazed 	1.2(0:0:0) 		176 		 0 		375 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714803 	0.0036418 	0.000587139
