Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Sinusoidal 	1.2(0:0:0) 		176 		 0 		255 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.533988 	0.0748134 	0.0183091 	0.00342957
Sinusoidal 	1.2(0:0:0) 		176 		 0 		260 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.52937 	0.0763204 	0.0190903 	0.00365396
Sinusoidal 	1.2(0:0:0) 		176 		 0 		265 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.524401 	0.0776554 	0.0198282 	0.00387396
Sinusoidal 	1.2(0:0:0) 		176 		 0 		270 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.519135 	0.0788519 	0.0205359 	0.00409277
Sinusoidal 	1.2(0:0:0) 		176 		 0 		275 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.513741 	0.0799617 	0.0212287 	0.00431361
Sinusoidal 	1.2(0:0:0) 		176 		 0 		280 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.508204 	0.0809786 	0.0219033 	0.00453564
Sinusoidal 	1.2(0:0:0) 		176 		 0 		285 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.502641 	0.081947 	0.0225755 	0.00476275
Sinusoidal 	1.2(0:0:0) 		176 		 0 		290 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.497145 	0.0828942 	0.0232535 	0.00499673
Sinusoidal 	1.2(0:0:0) 		176 		 0 		295 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.491702 	0.0838134 	0.0239337 	0.00523673
Sinusoidal 	1.2(0:0:0) 		176 		 0 		300 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.486307 	0.0847023 	0.0246149 	0.00548248
Sinusoidal 	1.2(0:0:0) 		176 		 0 		305 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.480934 	0.0855527 	0.0252939 	0.00573328
Sinusoidal 	1.2(0:0:0) 		176 		 0 		310 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.475639 	0.0863878 	0.0259795 	0.00599152
Sinusoidal 	1.2(0:0:0) 		176 		 0 		315 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.470433 	0.0872091 	0.0266715 	0.00625711
Sinusoidal 	1.2(0:0:0) 		176 		 0 		320 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.465303 	0.0880124 	0.0273679 	0.00652966
Sinusoidal 	1.2(0:0:0) 		176 		 0 		325 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.460244 	0.0887971 	0.0280683 	0.00680917
Sinusoidal 	1.2(0:0:0) 		176 		 0 		330 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.455261 	0.0895658 	0.0287739 	0.00709605
Sinusoidal 	1.2(0:0:0) 		176 		 0 		335 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.450361 	0.0903225 	0.0294859 	0.00739079
Sinusoidal 	1.2(0:0:0) 		176 		 0 		340 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.445545 	0.0910675 	0.0302043 	0.00769349
Sinusoidal 	1.2(0:0:0) 		176 		 0 		345 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.440811 	0.0918019 	0.0309296 	0.00800445
Sinusoidal 	1.2(0:0:0) 		176 		 0 		350 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.436167 	0.0925293 	0.0316633 	0.00832423
Sinusoidal 	1.2(0:0:0) 		176 		 0 		355 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.431615 	0.0932521 	0.0324065 	0.00865333
Sinusoidal 	1.2(0:0:0) 		176 		 0 		360 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.427159 	0.0939735 	0.0331605 	0.00899238
Sinusoidal 	1.2(0:0:0) 		176 		 0 		365 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.422807 	0.0946974 	0.0339275 	0.00934224
Sinusoidal 	1.2(0:0:0) 		176 		 0 		370 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.418564 	0.095429 	0.03471 	0.009704
Sinusoidal 	1.2(0:0:0) 		176 		 0 		375 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.414465 	0.0961863 	0.0355174 	0.0100811
Sinusoidal 	1.2(0:0:0) 		176 		 0 		380 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.410546 	0.0969894 	0.0363602 	0.0104774
Sinusoidal 	1.2(0:0:0) 		176 		 0 		385 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.406901 	0.0978807 	0.0372583 	0.0108997
Sinusoidal 	1.2(0:0:0) 		176 		 0 		390 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.403559 	0.0988736 	0.0382185 	0.0113507
Sinusoidal 	1.2(0:0:0) 		176 		 0 		395 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.400508 	0.0999566 	0.0392333 	0.0118275
Sinusoidal 	1.2(0:0:0) 		176 		 0 		400 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.39772 	0.101085 	0.0402683 	0.0123153
Sinusoidal 	1.2(0:0:0) 		176 		 0 		405 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.394631 	0.102007 	0.0412021 	0.0127735
Sinusoidal 	1.2(0:0:0) 		176 		 0 		410 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.391385 	0.102808 	0.0420843 	0.0132204
Sinusoidal 	1.2(0:0:0) 		176 		 0 		415 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.38803 	0.103515 	0.0429264 	0.0136599
Sinusoidal 	1.2(0:0:0) 		176 		 0 		420 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.384602 	0.104144 	0.0437363 	0.0140945
Sinusoidal 	1.2(0:0:0) 		176 		 0 		425 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.381104 	0.104698 	0.0445154 	0.0145245
Sinusoidal 	1.2(0:0:0) 		176 		 0 		430 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.377595 	0.105204 	0.0452759 	0.0149539
Sinusoidal 	1.2(0:0:0) 		176 		 0 		435 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.374084 	0.105666 	0.0460185 	0.0153827
Sinusoidal 	1.2(0:0:0) 		176 		 0 		440 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.37056 	0.106081 	0.0467421 	0.0158104
Sinusoidal 	1.2(0:0:0) 		176 		 0 		445 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.36708 	0.106479 	0.0474632 	0.0162435
Sinusoidal 	1.2(0:0:0) 		176 		 0 		450 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.363636 	0.106851 	0.048173 	0.0166774
Sinusoidal 	1.2(0:0:0) 		176 		 0 		455 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.360217 	0.107189 	0.0488659 	0.0171096
