Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		265 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.442394 	0.141607 	0.0122574 	0.00244546
Blazed 	1.2(0:0:0) 		176 		 0 		270 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.436926 	0.143057 	0.0132908 	0.00241613
Blazed 	1.2(0:0:0) 		176 		 0 		275 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.431379 	0.144347 	0.0143454 	0.0023759
Blazed 	1.2(0:0:0) 		176 		 0 		280 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.425731 	0.145473 	0.0154164 	0.00232569
Blazed 	1.2(0:0:0) 		176 		 0 		285 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.42008 	0.146514 	0.0165139 	0.0022683
Blazed 	1.2(0:0:0) 		176 		 0 		290 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.414521 	0.147507 	0.017643 	0.00220429
Blazed 	1.2(0:0:0) 		176 		 0 		295 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.409046 	0.148441 	0.0188 	0.00213364
Blazed 	1.2(0:0:0) 		176 		 0 		300 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.403649 	0.149311 	0.0199827 	0.00205691
Blazed 	1.2(0:0:0) 		176 		 0 		305 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.3983 	0.15011 	0.0211874 	0.00197475
Blazed 	1.2(0:0:0) 		176 		 0 		310 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.393052 	0.150875 	0.022421 	0.00188835
Blazed 	1.2(0:0:0) 		176 		 0 		315 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.387916 	0.151606 	0.0236822 	0.00179802
Blazed 	1.2(0:0:0) 		176 		 0 		320 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.38288 	0.152297 	0.0249686 	0.00170432
