Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		275 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0719726 	0.0023477 	0.000681755
Blazed 	1.2(0:0:0) 		176 		 0 		280 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0718774 	0.00245826 	0.000689694
Blazed 	1.2(0:0:0) 		176 		 0 		285 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0718498 	0.00257034 	0.000701816
Blazed 	1.2(0:0:0) 		176 		 0 		290 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0716118 	0.00266713 	0.000713593
Blazed 	1.2(0:0:0) 		176 		 0 		295 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714484 	0.00276557 	0.000726699
Blazed 	1.2(0:0:0) 		176 		 0 		300 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714449 	0.0028637 	0.000737721
Blazed 	1.2(0:0:0) 		176 		 0 		305 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.071205 	0.0029644 	0.00074158
Blazed 	1.2(0:0:0) 		176 		 0 		310 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.071131 	0.00306627 	0.000737146
Blazed 	1.2(0:0:0) 		176 		 0 		315 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712198 	0.00316781 	0.000724533
Blazed 	1.2(0:0:0) 		176 		 0 		320 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0711013 	0.00326916 	0.000701241
Blazed 	1.2(0:0:0) 		176 		 0 		325 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0711579 	0.0033575 	0.000675355
Blazed 	1.2(0:0:0) 		176 		 0 		330 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712065 	0.00343318 	0.000650356
Blazed 	1.2(0:0:0) 		176 		 0 		335 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712266 	0.00348183 	0.000631614
Blazed 	1.2(0:0:0) 		176 		 0 		340 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0713851 	0.0035183 	0.000626353
Blazed 	1.2(0:0:0) 		176 		 0 		345 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715206 	0.00352922 	0.000633086
Blazed 	1.2(0:0:0) 		176 		 0 		350 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715797 	0.00351396 	0.000649385
Blazed 	1.2(0:0:0) 		176 		 0 		355 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0716684 	0.00349476 	0.000670871
Blazed 	1.2(0:0:0) 		176 		 0 		360 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0716813 	0.00347155 	0.000688972
Blazed 	1.2(0:0:0) 		176 		 0 		365 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715188 	0.00344703 	0.000694009
Blazed 	1.2(0:0:0) 		176 		 0 		370 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715014 	0.00346382 	0.000684502
Blazed 	1.2(0:0:0) 		176 		 0 		375 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0716903 	0.00352658 	0.000660392
Blazed 	1.2(0:0:0) 		176 		 0 		380 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0716796 	0.00359945 	0.000612561
Blazed 	1.2(0:0:0) 		176 		 0 		385 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.071828 	0.00370295 	0.000554519
Blazed 	1.2(0:0:0) 		176 		 0 		390 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0720354 	0.00381385 	0.00049257
Blazed 	1.2(0:0:0) 		176 		 0 		395 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0722493 	0.00390549 	0.000437124
Blazed 	1.2(0:0:0) 		176 		 0 		400 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0727222 	0.00397758 	0.000406767
Blazed 	1.2(0:0:0) 		176 		 0 		405 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0732506 	0.0039942 	0.00040412
Blazed 	1.2(0:0:0) 		176 		 0 		410 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0738978 	0.00396167 	0.000429861
Blazed 	1.2(0:0:0) 		176 		 0 		415 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0745145 	0.00386463 	0.000476867
Blazed 	1.2(0:0:0) 		176 		 0 		420 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0748138 	0.00366927 	0.000534378
Blazed 	1.2(0:0:0) 		176 		 0 		425 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0751121 	0.00347124 	0.000584881
Blazed 	1.2(0:0:0) 		176 		 0 		430 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0752159 	0.00326509 	0.000615813
Blazed 	1.2(0:0:0) 		176 		 0 		435 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0750937 	0.00307886 	0.000616155
Blazed 	1.2(0:0:0) 		176 		 0 		440 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0747512 	0.00294439 	0.00058002
Blazed 	1.2(0:0:0) 		176 		 0 		445 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0742886 	0.00288471 	0.00051188
Blazed 	1.2(0:0:0) 		176 		 0 		450 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0737735 	0.00290831 	0.000421593
Blazed 	1.2(0:0:0) 		176 		 0 		455 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0733012 	0.00300778 	0.000325612
Blazed 	1.2(0:0:0) 		176 		 0 		460 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0729811 	0.00315824 	0.000243335
Blazed 	1.2(0:0:0) 		176 		 0 		465 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0729976 	0.00332916 	0.000192345
Blazed 	1.2(0:0:0) 		176 		 0 		470 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.073385 	0.00348853 	0.000179242
Blazed 	1.2(0:0:0) 		176 		 0 		475 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0737418 	0.00356928 	0.000204877
Blazed 	1.2(0:0:0) 		176 		 0 		480 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0743338 	0.00356166 	0.000264752
Blazed 	1.2(0:0:0) 		176 		 0 		485 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0751068 	0.00346568 	0.000342514
Blazed 	1.2(0:0:0) 		176 		 0 		490 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0755791 	0.00321601 	0.000423987
Blazed 	1.2(0:0:0) 		176 		 0 		495 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0757665 	0.00286095 	0.000485141
Blazed 	1.2(0:0:0) 		176 		 0 		500 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0755723 	0.00245355 	0.000507843
Blazed 	1.2(0:0:0) 		176 		 0 		505 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0748556 	0.0020513 	0.000481983
Blazed 	1.2(0:0:0) 		176 		 0 		510 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0736512 	0.00171497 	0.000411801
