Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		265 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.476883 	0.131193 	0.00353219 	0.0022135
Blazed 	1.2(0:0:0) 		176 		 0 		270 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.471606 	0.133113 	0.00399331 	0.00228188
Blazed 	1.2(0:0:0) 		176 		 0 		275 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.466226 	0.134894 	0.00447974 	0.00234247
Blazed 	1.2(0:0:0) 		176 		 0 		280 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.460723 	0.13653 	0.00498941 	0.0023951
Blazed 	1.2(0:0:0) 		176 		 0 		285 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.455202 	0.138097 	0.0055254 	0.0024421
Blazed 	1.2(0:0:0) 		176 		 0 		290 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.449762 	0.139628 	0.00609025 	0.00248383
Blazed 	1.2(0:0:0) 		176 		 0 		295 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.444395 	0.141109 	0.006683 	0.00251955
Blazed 	1.2(0:0:0) 		176 		 0 		300 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.439094 	0.142538 	0.00730302 	0.00254907
Blazed 	1.2(0:0:0) 		176 		 0 		305 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.433829 	0.143905 	0.00794882 	0.0025722
Blazed 	1.2(0:0:0) 		176 		 0 		310 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.428655 	0.145246 	0.00862334 	0.00258992
Blazed 	1.2(0:0:0) 		176 		 0 		315 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.423587 	0.146561 	0.00932657 	0.00260186
Blazed 	1.2(0:0:0) 		176 		 0 		320 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.418609 	0.147842 	0.0100577 	0.00260783
Blazed 	1.2(0:0:0) 		176 		 0 		325 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.413718 	0.14909 	0.0108166 	0.00260785
Blazed 	1.2(0:0:0) 		176 		 0 		330 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.408916 	0.15031 	0.0116033 	0.00260211
Blazed 	1.2(0:0:0) 		176 		 0 		335 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.404211 	0.151507 	0.0124186 	0.00259073
Blazed 	1.2(0:0:0) 		176 		 0 		340 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.399601 	0.152682 	0.0132624 	0.00257375
Blazed 	1.2(0:0:0) 		176 		 0 		345 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.395087 	0.153838 	0.0141348 	0.0025513
Blazed 	1.2(0:0:0) 		176 		 0 		350 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.390674 	0.15498 	0.0150366 	0.00252357
Blazed 	1.2(0:0:0) 		176 		 0 		355 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.386365 	0.156111 	0.0159685 	0.00249072
Blazed 	1.2(0:0:0) 		176 		 0 		360 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.382163 	0.157237 	0.0169313 	0.00245294
Blazed 	1.2(0:0:0) 		176 		 0 		365 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.378074 	0.158365 	0.0179263 	0.00241047
Blazed 	1.2(0:0:0) 		176 		 0 		370 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.374105 	0.159502 	0.0189554 	0.00236357
Blazed 	1.2(0:0:0) 		176 		 0 		375 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.370287 	0.160676 	0.0200246 	0.00231289
Blazed 	1.2(0:0:0) 		176 		 0 		380 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.366658 	0.161919 	0.0211411 	0.0022589
Blazed 	1.2(0:0:0) 		176 		 0 		385 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.36332 	0.163286 	0.0223181 	0.00220176
Blazed 	1.2(0:0:0) 		176 		 0 		390 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.360311 	0.164791 	0.0235612 	0.00214101
Blazed 	1.2(0:0:0) 		176 		 0 		395 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.357635 	0.166405 	0.024866 	0.0020752
Blazed 	1.2(0:0:0) 		176 		 0 		400 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.355317 	0.168019 	0.0262051 	0.00200025
Blazed 	1.2(0:0:0) 		176 		 0 		405 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.352739 	0.169295 	0.0274986 	0.00191639
Blazed 	1.2(0:0:0) 		176 		 0 		410 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.350017 	0.170388 	0.0287787 	0.00182812
Blazed 	1.2(0:0:0) 		176 		 0 		415 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.347192 	0.171338 	0.0300516 	0.00173699
Blazed 	1.2(0:0:0) 		176 		 0 		420 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.3443 	0.172172 	0.0313209 	0.00164407
Blazed 	1.2(0:0:0) 		176 		 0 		425 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.341337 	0.172899 	0.0325864 	0.00155036
Blazed 	1.2(0:0:0) 		176 		 0 		430 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.338369 	0.173556 	0.033855 	0.0014565
Blazed 	1.2(0:0:0) 		176 		 0 		435 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.335402 	0.174147 	0.0351261 	0.00136312
Blazed 	1.2(0:0:0) 		176 		 0 		440 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.332423 	0.174672 	0.0363983 	0.00127097
Blazed 	1.2(0:0:0) 		176 		 0 		445 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.32949 	0.175175 	0.0376835 	0.00118069
Blazed 	1.2(0:0:0) 		176 		 0 		450 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.326601 	0.175637 	0.0389728 	0.00109246
Blazed 	1.2(0:0:0) 		176 		 0 		455 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.323747 	0.176043 	0.0402601 	0.00100681
Blazed 	1.2(0:0:0) 		176 		 0 		460 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.320888 	0.176375 	0.0415376 	0.000924499
Blazed 	1.2(0:0:0) 		176 		 0 		465 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.318041 	0.176639 	0.0428046 	0.000846058
Blazed 	1.2(0:0:0) 		176 		 0 		470 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.315195 	0.176829 	0.044057 	0.000772107
Blazed 	1.2(0:0:0) 		176 		 0 		475 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.312293 	0.176926 	0.0452879 	0.000703394
Blazed 	1.2(0:0:0) 		176 		 0 		480 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.309406 	0.176964 	0.0465046 	0.000640208
Blazed 	1.2(0:0:0) 		176 		 0 		485 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.306521 	0.176937 	0.0477041 	0.000583051
Blazed 	1.2(0:0:0) 		176 		 0 		490 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.303597 	0.176828 	0.0488787 	0.00053241
Blazed 	1.2(0:0:0) 		176 		 0 		495 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.300685 	0.176655 	0.0500309 	0.000488588
Blazed 	1.2(0:0:0) 		176 		 0 		500 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.297746 	0.176402 	0.0511531 	0.000451985
Blazed 	1.2(0:0:0) 		176 		 0 		505 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.294758 	0.176044 	0.0522324 	0.000422948
Blazed 	1.2(0:0:0) 		176 		 0 		510 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.291748 	0.175593 	0.053269 	0.000401743
Blazed 	1.2(0:0:0) 		176 		 0 		515 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.288441 	0.174852 	0.0541797 	0.000388678
Blazed 	1.2(0:0:0) 		176 		 0 		520 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.284991 	0.17398 	0.0550321 	0.000383195
Blazed 	1.2(0:0:0) 		176 		 0 		525 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.281334 	0.172953 	0.0558165 	0.000384869
Blazed 	1.2(0:0:0) 		176 		 0 		530 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.2774 	0.171873 	0.0566037 	0.000391907
Blazed 	1.2(0:0:0) 		176 		 0 		535 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.273411 	0.170771 	0.0573846 	0.000405122
Blazed 	1.2(0:0:0) 		176 		 0 		540 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.269778 	0.170144 	0.05842 	0.000423545
Blazed 	1.2(0:0:0) 		176 		 0 		545 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.266374 	0.169684 	0.0595404 	0.000449425
Blazed 	1.2(0:0:0) 		176 		 0 		550 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.263409 	0.16961 	0.0608659 	0.000483623
Blazed 	1.2(0:0:0) 		176 		 0 		555 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.26102 	0.169836 	0.0623211 	0.000529806
Blazed 	1.2(0:0:0) 		176 		 0 		560 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.259077 	0.170291 	0.0638838 	0.00058886
Blazed 	1.2(0:0:0) 		176 		 0 		565 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.257303 	0.170726 	0.0654246 	0.000660938
Blazed 	1.2(0:0:0) 		176 		 0 		570 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.255616 	0.171154 	0.0669661 	0.000745583
Blazed 	1.2(0:0:0) 		176 		 0 		575 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.253858 	0.171345 	0.0683637 	0.000842531
Blazed 	1.2(0:0:0) 		176 		 0 		580 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.252136 	0.171508 	0.0697475 	0.000951841
Blazed 	1.2(0:0:0) 		176 		 0 		585 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.250332 	0.171542 	0.0710628 	0.00107236
Blazed 	1.2(0:0:0) 		176 		 0 		590 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.248549 	0.171542 	0.072357 	0.00120511
Blazed 	1.2(0:0:0) 		176 		 0 		595 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.246714 	0.171446 	0.0735967 	0.00134904
Blazed 	1.2(0:0:0) 		176 		 0 		600 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.244893 	0.171317 	0.0748143 	0.00150499
Blazed 	1.2(0:0:0) 		176 		 0 		605 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.243047 	0.17113 	0.0759976 	0.00167223
Blazed 	1.2(0:0:0) 		176 		 0 		610 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.241216 	0.170917 	0.0771617 	0.0018514
Blazed 	1.2(0:0:0) 		176 		 0 		615 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.239383 	0.170669 	0.0783029 	0.0020421
Blazed 	1.2(0:0:0) 		176 		 0 		620 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.23758 	0.170415 	0.0794363 	0.00224508
Blazed 	1.2(0:0:0) 		176 		 0 		625 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.235802 	0.170155 	0.0805636 	0.00246034
