Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		275 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.102534 	0.000437772 	0.000943167
Blazed 	1.2(0:0:0) 		176 		 0 		280 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.10484 	0.000508947 	0.00101306
Blazed 	1.2(0:0:0) 		176 		 0 		285 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.106901 	0.000593538 	0.0010801
Blazed 	1.2(0:0:0) 		176 		 0 		290 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.108865 	0.000691579 	0.00114665
Blazed 	1.2(0:0:0) 		176 		 0 		295 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.11079 	0.000803995 	0.00121362
Blazed 	1.2(0:0:0) 		176 		 0 		300 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.112702 	0.000931598 	0.0012813
Blazed 	1.2(0:0:0) 		176 		 0 		305 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.114629 	0.00107545 	0.00135009
Blazed 	1.2(0:0:0) 		176 		 0 		310 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.116633 	0.00123776 	0.00142118
Blazed 	1.2(0:0:0) 		176 		 0 		315 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.118614 	0.00141981 	0.0014915
Blazed 	1.2(0:0:0) 		176 		 0 		320 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.12049 	0.00161793 	0.00155931
Blazed 	1.2(0:0:0) 		176 		 0 		325 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.122295 	0.00183208 	0.00162528
Blazed 	1.2(0:0:0) 		176 		 0 		330 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.124076 	0.00206385 	0.0016903
Blazed 	1.2(0:0:0) 		176 		 0 		335 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.125851 	0.00231411 	0.00175452
Blazed 	1.2(0:0:0) 		176 		 0 		340 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.127637 	0.00258408 	0.00181823
Blazed 	1.2(0:0:0) 		176 		 0 		345 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.129463 	0.00287562 	0.00188191
Blazed 	1.2(0:0:0) 		176 		 0 		350 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.13143 	0.00319455 	0.0019478
Blazed 	1.2(0:0:0) 		176 		 0 		355 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.133381 	0.00353814 	0.00201016
Blazed 	1.2(0:0:0) 		176 		 0 		360 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.135191 	0.0038995 	0.0020657
Blazed 	1.2(0:0:0) 		176 		 0 		365 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.136867 	0.00427496 	0.00211594
Blazed 	1.2(0:0:0) 		176 		 0 		370 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.138447 	0.00466569 	0.00216163
Blazed 	1.2(0:0:0) 		176 		 0 		375 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.13997 	0.00507342 	0.00220366
Blazed 	1.2(0:0:0) 		176 		 0 		380 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.141454 	0.00549914 	0.00224235
Blazed 	1.2(0:0:0) 		176 		 0 		385 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.14291 	0.00594359 	0.00227782
Blazed 	1.2(0:0:0) 		176 		 0 		390 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.14435 	0.00640768 	0.00231026
Blazed 	1.2(0:0:0) 		176 		 0 		395 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.145794 	0.00689308 	0.00234003
Blazed 	1.2(0:0:0) 		176 		 0 		400 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.147292 	0.00740467 	0.00236833
Blazed 	1.2(0:0:0) 		176 		 0 		405 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.148816 	0.00794285 	0.00239228
Blazed 	1.2(0:0:0) 		176 		 0 		410 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.150245 	0.00849523 	0.00240992
Blazed 	1.2(0:0:0) 		176 		 0 		415 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.151562 	0.00905845 	0.00242135
Blazed 	1.2(0:0:0) 		176 		 0 		420 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.152768 	0.00963066 	0.00242721
Blazed 	1.2(0:0:0) 		176 		 0 		425 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.153911 	0.0102156 	0.00242884
Blazed 	1.2(0:0:0) 		176 		 0 		430 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.155008 	0.0108147 	0.00242643
Blazed 	1.2(0:0:0) 		176 		 0 		435 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.156062 	0.0114279 	0.00242009
Blazed 	1.2(0:0:0) 		176 		 0 		440 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.15708 	0.0120552 	0.00241022
Blazed 	1.2(0:0:0) 		176 		 0 		445 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.158093 	0.0127004 	0.0023975
Blazed 	1.2(0:0:0) 		176 		 0 		450 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.159094 	0.013363 	0.00238133
Blazed 	1.2(0:0:0) 		176 		 0 		455 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.160088 	0.0140434 	0.00236166
Blazed 	1.2(0:0:0) 		176 		 0 		460 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.160989 	0.0147286 	0.00233708
Blazed 	1.2(0:0:0) 		176 		 0 		465 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.161832 	0.0154224 	0.00230874
Blazed 	1.2(0:0:0) 		176 		 0 		470 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.162616 	0.0161235 	0.00227692
Blazed 	1.2(0:0:0) 		176 		 0 		475 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.163348 	0.0168322 	0.00224231
Blazed 	1.2(0:0:0) 		176 		 0 		480 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.164039 	0.0175497 	0.0022048
Blazed 	1.2(0:0:0) 		176 		 0 		485 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.164689 	0.0182751 	0.00216469
Blazed 	1.2(0:0:0) 		176 		 0 		490 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.165303 	0.0190088 	0.0021225
Blazed 	1.2(0:0:0) 		176 		 0 		495 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.165882 	0.0197501 	0.00207799
Blazed 	1.2(0:0:0) 		176 		 0 		500 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.166428 	0.0204991 	0.00203165
Blazed 	1.2(0:0:0) 		176 		 0 		505 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.166952 	0.0212573 	0.00198377
Blazed 	1.2(0:0:0) 		176 		 0 		510 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.167447 	0.0220225 	0.00193415
Blazed 	1.2(0:0:0) 		176 		 0 		515 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.167919 	0.0227959 	0.0018833
Blazed 	1.2(0:0:0) 		176 		 0 		520 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.168356 	0.0235739 	0.00183105
Blazed 	1.2(0:0:0) 		176 		 0 		525 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.168757 	0.024356 	0.00177771
Blazed 	1.2(0:0:0) 		176 		 0 		530 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169131 	0.0251434 	0.0017237
Blazed 	1.2(0:0:0) 		176 		 0 		535 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169472 	0.0259339 	0.00166886
Blazed 	1.2(0:0:0) 		176 		 0 		540 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169792 	0.0267307 	0.00161392
Blazed 	1.2(0:0:0) 		176 		 0 		545 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.170084 	0.0275305 	0.00155858
Blazed 	1.2(0:0:0) 		176 		 0 		550 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.170355 	0.0283352 	0.00150331
Blazed 	1.2(0:0:0) 		176 		 0 		555 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.170607 	0.0291445 	0.00144821
Blazed 	1.2(0:0:0) 		176 		 0 		560 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.170836 	0.029957 	0.00139338
Blazed 	1.2(0:0:0) 		176 		 0 		565 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.171069 	0.0307799 	0.00133925
Blazed 	1.2(0:0:0) 		176 		 0 		570 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.171279 	0.0316049 	0.0012856
Blazed 	1.2(0:0:0) 		176 		 0 		575 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.171469 	0.0324327 	0.00123281
Blazed 	1.2(0:0:0) 		176 		 0 		580 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.171631 	0.0332591 	0.00118086
Blazed 	1.2(0:0:0) 		176 		 0 		585 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.171769 	0.0340872 	0.00113024
Blazed 	1.2(0:0:0) 		176 		 0 		590 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.171882 	0.0349141 	0.0010809
Blazed 	1.2(0:0:0) 		176 		 0 		595 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.171978 	0.0357437 	0.00103318
Blazed 	1.2(0:0:0) 		176 		 0 		600 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.172054 	0.0365728 	0.000987116
Blazed 	1.2(0:0:0) 		176 		 0 		605 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.172117 	0.0374044 	0.000942946
Blazed 	1.2(0:0:0) 		176 		 0 		610 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.172164 	0.0382366 	0.000900767
Blazed 	1.2(0:0:0) 		176 		 0 		615 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.172201 	0.0390715 	0.000860757
Blazed 	1.2(0:0:0) 		176 		 0 		620 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.172228 	0.0399081 	0.000823036
Blazed 	1.2(0:0:0) 		176 		 0 		625 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.172247 	0.0407482 	0.000787749
Blazed 	1.2(0:0:0) 		176 		 0 		630 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.172263 	0.0415921 	0.000755022
