Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	0.6(0:0:0) 		176 		 0 		265 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.411244 	0.206995 	0.00222738 	0.00373734
Blazed 	0.6(0:0:0) 		176 		 0 		270 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.404898 	0.210121 	0.00271193 	0.00394232
Blazed 	0.6(0:0:0) 		176 		 0 		275 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.39849 	0.213044 	0.00324642 	0.00413895
Blazed 	0.6(0:0:0) 		176 		 0 		280 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.392007 	0.215753 	0.00382985 	0.00432584
Blazed 	0.6(0:0:0) 		176 		 0 		285 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.385543 	0.218337 	0.00446392 	0.00450528
Blazed 	0.6(0:0:0) 		176 		 0 		290 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.379178 	0.220847 	0.00515068 	0.00467784
Blazed 	0.6(0:0:0) 		176 		 0 		295 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.372904 	0.22327 	0.00589009 	0.00484214
Blazed 	0.6(0:0:0) 		176 		 0 		300 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.366715 	0.225601 	0.00668206 	0.00499732
Blazed 	0.6(0:0:0) 		176 		 0 		305 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.360586 	0.227825 	0.00752575 	0.00514232
Blazed 	0.6(0:0:0) 		176 		 0 		310 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.354565 	0.229987 	0.00842334 	0.00527826
Blazed 	0.6(0:0:0) 		176 		 0 		315 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.348658 	0.232091 	0.00937532 	0.00540443
Blazed 	0.6(0:0:0) 		176 		 0 		320 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.342856 	0.234129 	0.0103814 	0.00552005
Blazed 	0.6(0:0:0) 		176 		 0 		325 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.337154 	0.236099 	0.0114414 	0.00562466
Blazed 	0.6(0:0:0) 		176 		 0 		330 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.331552 	0.238008 	0.0125559 	0.0057181
Blazed 	0.6(0:0:0) 		176 		 0 		335 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.326058 	0.239863 	0.0137253 	0.00580026
Blazed 	0.6(0:0:0) 		176 		 0 		340 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.320668 	0.241665 	0.01495 	0.00587083
Blazed 	0.6(0:0:0) 		176 		 0 		345 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.315383 	0.243419 	0.0162301 	0.00592964
Blazed 	0.6(0:0:0) 		176 		 0 		350 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.310206 	0.24513 	0.0175664 	0.00597669
Blazed 	0.6(0:0:0) 		176 		 0 		355 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.305138 	0.246804 	0.0189596 	0.00601198
Blazed 	0.6(0:0:0) 		176 		 0 		360 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.300182 	0.248449 	0.0204106 	0.00603554
Blazed 	0.6(0:0:0) 		176 		 0 		365 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.29534 	0.250071 	0.0219208 	0.00604756
Blazed 	0.6(0:0:0) 		176 		 0 		370 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.290616 	0.251683 	0.0234921 	0.00604827
